City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
504,Namatanai,PG,84.88,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
505,Palmer,US,91.0,scattered clouds,42.1584,-72.3287,Wedgewood Motel
506,Champerico,GT,88.34,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
509,Balikpapan,ID,81.59,scattered clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
511,Buluang,PH,82.76,broken clouds,13.3068,123.3425,Sacueza Beach Resort
526,Keelung,TW,90.05,few clouds,25.1283,121.7419,East Coast Star Boutique Hotel
527,Portland,US,83.95,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
529,Samana,DO,82.36,broken clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
543,Mecca,SA,86.94,overcast clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
547,Changde,CN,80.71,few clouds,29.0464,111.6783,Kangshida Hotel
554,Lakatoro,VU,82.33,clear sky,-16.0999,167.4164,Lakatoro Palm Lodge
574,Morristown,US,90.7,clear sky,36.214,-83.2949,Days Inn by Wyndham Morristown
575,Veraval,IN,81.01,light rain,20.9,70.3667,Lords Inn Somnath
577,Sterling,US,92.17,broken clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
588,Kieta,PG,85.95,clear sky,-6.2167,155.6333,Uruna Bay Retreat
589,Sabalgarh,IN,83.14,broken clouds,26.25,77.4,Kailadevi studio
592,Makakilo City,US,89.92,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
599,Nara,JP,81.97,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
602,Pachino,IT,80.96,clear sky,36.7186,15.0907,Il Veliero
606,Ixtapa,MX,87.22,scattered clouds,20.7,-105.2,hotel la terminal
609,Marrakesh,MA,90.82,broken clouds,31.6315,-8.0083,Les Jardins de La Koutoubia
612,Naifaru,MV,81.41,broken clouds,5.4444,73.3657,Naifaru Residence Guest House
619,Fayetteville,US,86.2,clear sky,35.0527,-78.8784,American Eagle Inn
623,Mangrol,IN,81.12,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
626,Balkanabat,TM,81.45,clear sky,39.5108,54.3671,Nebitchi Hotel
631,Bubaque,GW,80.22,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
637,Sabha,LY,80.71,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
638,Bud,US,83.82,clear sky,39.447,-86.1758,Ted McQuinn Trust
644,Nuevitas,CU,80.51,overcast clouds,21.5453,-77.2644,Hotel Caonaba
647,Half Moon Bay,US,86.54,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
660,Yurimaguas,PE,81.86,scattered clouds,-5.9,-76.0833,Rio Huallaga Hotel & Business Center
665,Sandi,IN,84.97,broken clouds,27.3,79.95,देवल सदन
678,Dicabisagan,PH,84.74,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
679,Wewak,PG,82.02,scattered clouds,-3.5534,143.6268,In Wewak Boutique Hotel
690,Umm Lajj,SA,85.08,overcast clouds,25.0213,37.2685,Moon light Furnished Units
694,Baracoa,CU,80.37,overcast clouds,20.3467,-74.4958,Hostal Rio Miel
696,Cortez,US,90.1,broken clouds,37.3489,-108.5859,Sand Canyon National 9 Inn
699,Bandar-E Lengeh,IR,91.02,overcast clouds,26.5579,54.8807,کافی نت پارس
