City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
200,Asekeyevo,RU,53.5742,52.7972,67.68,72,78,3.74,broken clouds
201,Murwara,IN,23.85,80.4,75.99,93,100,6.24,overcast clouds
202,Wadi Maliz,TN,36.4681,8.5495,80.26,43,0,2.15,clear sky
203,Pangody,RU,65.85,74.4859,49.06,95,94,10.78,overcast clouds
204,Salalah,OM,17.0151,54.0924,77.09,94,75,6.91,broken clouds
205,Cabra,ES,37.4725,-4.4421,82.83,28,0,6.17,clear sky
206,Hilo,US,19.7297,-155.09,83.28,86,100,6.91,overcast clouds
207,Kropotkin,RU,45.4375,40.5756,63.48,65,69,8.01,broken clouds
208,Parthenay,FR,46.6667,-0.4167,65.37,61,44,6.85,scattered clouds
209,Farmington,US,36.7281,-108.2187,97.48,18,0,12.66,clear sky
210,Coquimbo,CL,-29.9533,-71.3436,55.13,82,100,5.75,overcast clouds
211,Praia,CV,14.9215,-23.5087,79.34,83,75,5.75,broken clouds
212,Ashtian,IR,34.5217,50.0019,73.08,16,4,2.64,clear sky
213,Faanui,PF,-16.4833,-151.75,79.45,73,10,13.58,clear sky
214,Nishihara,JP,26.1842,127.7558,85.66,89,20,6.91,few clouds
215,San Quintin,MX,30.4833,-115.95,71.64,66,22,9.46,few clouds
216,Meadow Lake,US,34.8014,-106.5436,93.02,20,23,4.7,few clouds
217,Hudiksvall,SE,61.729,17.1036,54.64,77,99,4.81,overcast clouds
218,Saldanha,ZA,-33.0117,17.9442,46.45,68,0,20.96,clear sky
219,Dandong,CN,40.1292,124.3947,73.0,88,91,3.53,overcast clouds
220,Oil City,US,41.4339,-79.7064,79.84,68,100,6.91,overcast clouds
221,Kloulklubed,PW,7.0419,134.2556,80.76,80,100,12.71,moderate rain
222,Batagay-Alyta,RU,67.8006,130.4114,58.1,80,83,6.2,broken clouds
223,Mandalgovi,MN,45.7625,106.2708,64.36,56,96,12.75,overcast clouds
224,Tricase,IT,39.9304,18.3553,70.95,55,0,3.78,clear sky
225,Duiven,NL,51.9333,6.0167,66.97,80,75,2.3,broken clouds
226,Dangara,IN,29.6799,75.8931,84.04,69,90,8.21,overcast clouds
227,Hambantota,LK,6.1241,81.1185,79.25,80,93,19.1,overcast clouds
228,Inta,RU,66.0317,60.1659,52.18,79,100,15.5,overcast clouds
229,Isangel,VU,-19.55,169.2667,80.15,77,8,12.5,clear sky
230,Upernavik,GL,72.7868,-56.1549,42.93,96,100,4.09,overcast clouds
231,Makinsk,KZ,52.6292,70.4169,52.21,89,16,7.27,few clouds
232,Garmsar,IR,35.2182,52.3409,85.89,29,60,7.76,broken clouds
233,Thompson,CA,55.7435,-97.8558,66.36,48,75,13.8,broken clouds
234,Luderitz,NA,-26.6481,15.1594,58.17,65,0,19.77,clear sky
235,Beloha,MG,-25.1667,45.05,64.92,73,9,4.07,clear sky
236,Ahipara,NZ,-35.1667,173.1667,56.3,89,100,17.72,light rain
237,Gisborne,NZ,-38.6533,178.0042,52.5,76,100,9.13,overcast clouds
238,Tshikapa,CD,-6.4167,20.8,80.55,39,95,1.66,overcast clouds
239,Payson,US,40.0444,-111.7321,98.46,24,40,4.61,scattered clouds
240,Moose Factory,CA,51.2585,-80.6094,75.2,43,20,11.5,few clouds
241,Elko,US,41.0002,-115.5012,90.03,8,3,15.41,clear sky
242,Okhotsk,RU,59.3833,143.3,58.62,91,100,14.16,light rain
243,Huatulco,MX,15.8436,-96.3267,84.87,75,75,0.0,broken clouds
244,Mezen,RU,65.8522,44.24,51.84,85,100,4.27,overcast clouds
245,Diamantino,BR,-14.4086,-56.4461,78.26,37,34,5.7,scattered clouds
246,Coihaique,CL,-45.5752,-72.0662,28.35,93,75,0.0,broken clouds
247,Tuatapere,NZ,-46.1333,167.6833,45.19,83,53,2.53,broken clouds
248,Linqiong,CN,30.4159,103.4609,73.22,86,19,0.87,few clouds
249,Jinchang,CN,38.4953,102.1739,77.14,25,27,7.81,scattered clouds
250,Krasnoselkup,RU,65.7,82.4667,61.23,86,62,3.42,broken clouds
251,Nemuro,JP,43.3236,145.575,62.91,91,92,5.75,overcast clouds
252,Talara,PE,-4.5772,-81.2719,63.99,89,9,13.02,clear sky
253,Dzilam Gonzalez,MX,21.2833,-88.9333,76.5,94,100,5.35,overcast clouds
254,Bathsheba,BB,13.2167,-59.5167,80.6,73,5,13.71,clear sky
255,Polunochnoye,RU,60.8697,60.4153,52.41,97,46,3.2,scattered clouds
256,Pindiga,NG,9.9833,10.9333,69.94,90,97,6.17,overcast clouds
257,Jiuquan,CN,39.7432,98.5174,76.66,25,0,1.01,clear sky
258,Tura,IN,25.5198,90.2201,73.17,99,100,4.41,overcast clouds
259,Itoman,JP,26.1247,127.6694,85.8,77,15,7.67,few clouds
260,Sept-Iles,CA,50.2001,-66.3821,66.72,90,75,3.44,broken clouds
261,Kondopoga,RU,62.2057,34.2614,65.88,99,40,4.16,scattered clouds
262,Victor Harbor,AU,-35.5667,138.6167,56.68,59,15,8.75,few clouds
263,Churapcha,RU,62.0025,132.4325,73.53,53,9,4.9,clear sky
264,Berlevag,NO,70.8578,29.0864,51.75,87,100,16.11,overcast clouds
265,Wilmington,US,34.2257,-77.9447,77.9,80,85,11.83,overcast clouds
266,Palma Del Rio,ES,37.7002,-5.2812,86.32,19,0,1.3,clear sky
267,Fare,PF,-16.7,-151.0167,79.43,74,0,14.34,clear sky
268,Ha Noi,VN,21.0245,105.8412,80.6,83,1,3.09,clear sky
269,Tabas,IR,33.5959,56.9244,88.2,25,0,1.45,clear sky
270,Tual,ID,-5.6667,132.75,79.02,81,81,13.27,broken clouds
271,Leh,IN,34.1667,77.5833,63.05,60,87,4.99,overcast clouds
